gene,weight
ERK,2.7610884
MTOR,2.407056
HRAS,2.2885737
NRAS,2.2885737
KRAS,2.1826394
PIK3CA_B_D,2.172102
PIK3R1_2_3,2.172102
NFKB1,2.1366154
RELA,2.1366154
TP53,2.0444641
EP300,2.0444641
HSP90A,2.0376883
RAF1,2.020799
MAP2K1,2.020799
GSK3B,2.0088771
AR,2.004295
PKA,1.9359507
E2F1,1.924282
RB1,1.924282
EGFR,1.9143999
MAP2K2,1.855923
BAD,1.8374504
AKT,1.8084656
GRB2,1.80543
NFKBIA,1.786438
FOS,1.760969
CDK2,1.7596237
CREB5,1.733728
CREB1,1.733728
CREB3,1.733728
MDM2,1.720923
CALM,1.6943098
PRKCA,1.69261
CDC42,1.6854044
CBL,1.676462
RXRA,1.662301
RXRB,1.662301
RXRG,1.662301
ESR1,1.662301
ESR2,1.662301
CASP9,1.65288611
RAC1,1.6284227
TCF7,1.607757
TCF7L1,1.607757
TCF7L2,1.607757
FOXO1,1.607757
ATF4,1.5736094
JNK,1.529672
NR1C3,1.5148
CASP3,1.51432011
ARAF,1.500846
BRAF,1.500846
HIF2A,1.444444
SKP1,1.4431841
BCL2,1.4322264
CCND1,1.423321
EGF,1.423321
SOS,1.423321
FN1,1.4177213
ITGAV,1.4177213
ITGB1,1.4177213
LEF1,1.404329
NKX3-1,1.404329
E2F2,1.404329
E2F3,1.404329
ERBB2,1.3944469
MYC,1.37886
STAT5A,1.37886
STAT5B,1.37886
STAT3,1.37886
JUN,1.37886
ARNT,1.37886
CCNE,1.3744791
GNAS,1.3521373
BAX,1.3479554
RARB,1.345776
NR1C2,1.345776
RARA,1.345776
MECOM,1.3300181
IKBKA,1.3270646
IKBKB,1.3270646
IKBKG,1.3270646
PDGFRB,1.3270646
PLCB,1.3248404
CTNNB1,1.3191294
GNAI,1.3135853
CASP8,1.31252411
BIRC5,1.31194681
PRKCB,1.310501
PRKCG,1.310501
RPS6KB,1.3015956
ZBTB16,1.294353
ZBTB17,1.294353
WNT1,1.2936604
IGF1R,1.2885126
XIAP,1.27628171
MTA,1.2696051
PGR,1.265803
STAT1,1.265763
STAT2,1.265763
HES1,1.265763
HES5,1.265763
HEY,1.265763
TNFSF6,1.2479457
AXIN2,1.2448185
APC,1.2448185
KIF5,1.2360727
SP1,1.231359
CDH1,1.2259511
HSP90B,1.219893
RHOA,1.2142933
GNAQ,1.2135417
HDAC1_2,1.2015091
CCNA,1.1973611
TRAF6,1.175501
RAD51,1.175501
TRAF2,1.1747494
BCR1,1.1637516
LRP5_6,1.1558164
PLCG1,1.1558164
PAX2,1.1507531
CYC,1.1445274
APAF1,1.1445274
RAB8A,1.1329358
PSMA7,1.13162711
PPP2C,1.1240304
PDGFRA,1.1236366
FGFR1,1.1236366
FGFR2,1.1236366
TUBA,1.1216468
TUBB,1.1216468
PTEN,1.106796
CDKN1B,1.106796
CDKN1A,1.106796
NR1C1,1.100927
VDR,1.100927
NR1I3,1.100927
JAK2,1.0981676
IRF3,1.086498
LRRK2,1.0855213
VEGFA,1.081327
CCND3,1.081327
JAG1,1.081327
NOTCH2,1.081327
MMP9,1.06973271
KLK3,1.06973271
IGF1,1.068244
HSPA5,1.0670487
NFKB2,1.062335
STAT4,1.062335
STAT6,1.062335
ETS1,1.062335
ELK1,1.062335
PAX8,1.062335
RUNX1,1.062335
SPI1,1.062335
CEBPA,1.062335
MAX,1.062335
MITF,1.062335
NFE2L2,1.062335
HIF1A,1.062335
ARNT2,1.062335
GLI1,1.062335
GLI2,1.062335
GLI3,1.062335
BRCA2,1.0610751
ROCK1,1.0493257
ROCK2,1.0493257
ADCY1,1.042775
ADCY2,1.042775
ADCY3,1.042775
ADCY4,1.042775
ADCY5,1.042775
ADCY6,1.042775
ADCY7,1.042775
ADCY8,1.042775
ADCY9,1.042775
BCL2L1,1.0413905
COL4A,1.0356123
ITGA2,1.0356123
ITGA2B,1.0356123
ITGA3,1.0356123
ITGA6,1.0356123
DCTN1,1.0311495
PSMA1,1.02032841
ATF2,1.019282
ATF6B,1.019282
TBK1,1.018139
ATF3,1.001922
ARAR,1.001922
RELB,1.001922
ramA,1.001922
argR,1.001922
lldR,1.001922
deoR,1.001922
kdgR,1.001922
purR,1.001922
gntR,1.001922
phnF,1.001922
acrR,1.001922
comR,1.001922
sinR,1.001922
cueR,1.001922
arcR,1.001922
cadC,1.001922
prpR,1.001922
mtlR,1.001922
ZBTB33,1.0006621
FBXL10_11,1.0006621
F2,0.99854901
KNG,0.99854901
CAMK2,0.993976
TTK,0.9889127
